,CompLex_complexity,WCL_complexity,SemEval2016_complexity,BEA2018_News_binaryComplexity,BEA2018_News_probabilisticComplexity,BEA2018_WikiNews_binaryComplexity,BEA2018_WikiNews_probabilisticComplexity,BEA2018_Wikipedia_binaryComplexity,BEA2018_Wikipedia_probabilisticComplexity,tokens
12479,,,,(1+0j),(0.9+0j),,,,,inconclusive
12480,,,,(1+0j),(0.1+0j),,,,,inconclusive bloodshed
12481,,(3.4286+0j),,,,,,,,inconsistent
12482,,,,,,,,(1+0j),(0.75+0j),incontrovertible
12483,,,,,,,,(1+0j),(0.25+0j),incontrovertible substellar
12484,,,,,,,,(1+0j),(0.05+0j),incontrovertible substellar objects
12485,,(2.8571+0j),,,,,,,,inconvenience
12486,,(3.5714+0j),0j,,,,,,,incorporate
12487,,(3.5714+0j),0j,,,,,(1+0j),(0.25+0j),incorporated
12488,,(3.4286+0j),0j,,,,,,,incorporates
12489,,(3.6667+0j),0j,,,,,,,incorporating
12490,,(3.4286+0j),0j,,,,,,,incorporation
12491,,(2.5+0j),0j,,,,,,,incorrect
12492,,(2+0j),0j,,,,,,,incorrectly
12493,(0.6666666666666666+0j),,,,,,,,,incorruptible adornment
12494,,(1.7143+0j),0j,(0.4+0j),(0.02+0j),,,,,increase
12495,,,,(1+0j),(0.05+0j),,,,,increase credit flow
12496,,(2.1429+0j),0j,0j,0j,(1+0j),(0.05+0j),,,increased
12497,,,,(1+0j),(0.15+0j),,,,,increased security capabilities
12498,,(1.7143+0j),0j,,,,,,,increases
12499,,(2+0j),0j,,,(1+0j),(0.05+0j),,,increasing
12500,,(2.2857+0j),0j,(0.6666666666666666+0j),(0.05833333333333333+0j),(1+0j),(0.05+0j),(1+0j),(0.3+0j),increasingly
12501,,,,(1+0j),(0.1+0j),,,,,increasingly aggressive
12502,,,,0j,0j,,,,,increasingly aggressive acts
12503,,,,(1+0j),(0.05+0j),,,,,increasingly difficult
12504,,,,0j,0j,,,,,increasingly militarized
12505,,,,0j,0j,,,,,increasingly militarized as rebels
12506,,,,,,,,(1+0j),(0.15+0j),increasingly preferred
12507,,(3.6+0j),0j,,,,,,,incredible
12508,,(2.5714+0j),,,,,,,,incredibly
12509,,(2.8571+0j),,,,,,,,increment
12510,,(3+0j),,,,,,,,incremental
12511,,(2.7143+0j),,,,,,,,increments
12512,,,,(1+0j),(1+0j),,,,,incubated
12513,,(5.3333+0j),,,,,,,,incubus
12514,,(4.2857+0j),,,,,,,,incumbent
12515,,(3.2857+0j),,,,,,,,incur
12516,,(3.7143+0j),0j,(1+0j),(0.85+0j),,,,,incurred
12517,,,0j,,,,,,,incurring
12518,,,(1+0j),,,,,,,incursions
12519,,,0j,,,,,,,indebtedness
12520,,,0j,,,,,,,indecency
12521,,(2.1429+0j),0j,,,,,,,indeed
12522,,,0j,,,,,,,indefinite
12523,,,,,,,,(1+0j),(0.375+0j),indefinitely
12524,,,0j,,,,,,,indelible
12525,,,(0.6666666666666666+0j),,,,,,,indentation
12526,,,(0.2+0j),,,,,,,indented
12527,,,0j,,,,,,,indenting
12528,,,0j,,,,,(1+0j),(0.175+0j),independence
12529,,(2.7143+0j),0j,(0.75+0j),(0.09375+0j),(1+0j),(0.05+0j),(1+0j),(0.25+0j),independent
12530,,,,(1+0j),(0.125+0j),,,,,independent audit
12531,,,,(1+0j),(0.05+0j),,,,,independent audit of lending
12532,,,,(1+0j),(0.10000000000000002+0j),,,,,independent auditing firms
12533,,,,(1+0j),(0.2+0j),,,,,independent auditors
12534,(0.3676470588235294+0j),,,,,,,,,independent laboratories
12535,,,,(1+0j),(0.35+0j),,,,,independent monitor
12536,,,,(1+0j),(0.15+0j),,,,,independent political analyst
12537,,(3.4+0j),0j,(1+0j),(0.17500000000000002+0j),,,,,independently
12538,,,,(1+0j),(0.35+0j),,,,,independently confirmed
12539,,,,(1+0j),(0.35+0j),,,,,independently verified
12540,,,,(1+0j),(0.05+0j),,,,,independently verify
12541,,,0j,,,,,,,independents
12542,,(2.1667+0j),0j,(0.5+0j),(0.1+0j),,,,,index
12543,,,,(1+0j),(0.05+0j),,,,,index of leading shares
12544,,(3.4+0j),0j,,,,,,,indexed
12545,,(2.6667+0j),0j,,,,,,,indexes
12546,,(2.5714+0j),0j,,,,,,,indexing
12547,,(1.6667+0j),,,,0j,0j,0j,0j,india
12548,,(2.2857+0j),,,,0j,0j,0j,0j,indian
12549,,,,,,(1+0j),(0.1+0j),,,indian institute of management shillong
12550,,,,,,,,(1+0j),(0.1+0j),indian sub-continent
12551,,(2.8333+0j),,,,0j,0j,,,indiana
12552,,,,,,(1+0j),(0.05+0j),,,indiana governor
12553,,(2.6667+0j),,,,(1+0j),(0.05+0j),,,indianapolis
12554,,,,,,0j,0j,,,indianapolis motor speedway
12555,,(1.8333+0j),,,,,,,,indians
12556,,(2.8333+0j),0j,(1+0j),(0.25+0j),,,(1+0j),(0.05+0j),indicate
12557,,,,,,0j,0j,,,indicate that the
12558,,(2.6667+0j),0j,(1+0j),(0.1+0j),(1+0j),(0.2333333333333333+0j),,,indicated
12559,,(3+0j),0j,,,,,(1+0j),(0.1+0j),indicates
12560,,(3+0j),0j,,,,,(1+0j),(0.1+0j),indicating
12561,,(3.1429+0j),0j,,,(1+0j),(0.35+0j),,,indication
12562,,(3.5714+0j),0j,,,,,,,indications
12563,,(3.5714+0j),,,,,,,,indicative
12564,,(3+0j),0j,,,,,,,indicator
12565,,(3.2+0j),0j,,,,,,,indicators
12566,,(2.8333+0j),,,,,,,,indices
12567,,(4.4286+0j),,,,,,,,indictment
12568,,(3.3333+0j),(1+0j),,,,,,,indie
12569,,(3.2+0j),,,,,,,,indies
12570,,,0j,,,,,,,indifference
12571,,(3.5714+0j),0j,,,,,(1+0j),(0.5833333333333334+0j),indigenous
12572,,,,,,,,0j,0j,indigenous australians
12573,,,(1+0j),,,,,(1+0j),(0.7+0j),indigestion
12574,,,,(1+0j),(0.9500000000000001+0j),,,,,indignation
12575,,,0j,,,,,,,indignity
12576,,,,,,0j,0j,,,indira
12577,,(2.1429+0j),0j,,,,,,,indirect
12578,(0.375+0j),,,,,,,,,indirect actions
12579,,(3.3333+0j),0j,,,,,,,indirectly
12580,(0.5625+0j),,,,,,,,,indiscriminate reductions
12581,,(3.5714+0j),0j,,,,,,,indispensable
12582,,,0j,(1+0j),(0.42500000000000004+0j),,,,,indisputable
12583,,,,(1+0j),(0.425+0j),,,,,indisputable sovereignty
12584,,(2.2857+0j),0j,,,(0.5+0j),(0.025+0j),,,individual
12585,,,,,,(1+0j),(0.05+0j),,,individual mandate
12586,(0.4+0j),,,,,,,,,individual roles
12587,,,0j,,,,,,,individual-oriented
12588,,,0j,,,,,,,individualist
12589,,(2.5714+0j),0j,,,,,,,individually
12590,,(2+0j),0j,(1+0j),(0.05+0j),(0.5+0j),(0.025+0j),0j,0j,individuals
12591,,(3.6+0j),,,,,,,,indo
12592,,(3.1667+0j),,,,0j,0j,,,indonesia
12593,,(2.5+0j),,,,(1+0j),(0.05+0j),,,indonesian
12594,(0.5882352941176471+0j),,,,,,,,,indonesian archipelago
12595,,(2.1667+0j),0j,,,,,,,indoor
12596,,(2.5+0j),0j,,,,,,,indoors
12597,,(3.4286+0j),0j,,,,,,,induce
12598,,(3.1429+0j),0j,,,,,,,induced
12599,,,(0.2857142857142857+0j),,,,,,,inducted
12600,,(3.3333+0j),0j,,,,,,,induction
12601,,,0j,,,,,,,indulgences
12602,,(2.8571+0j),0j,,,(1+0j),(0.15+0j),,,industrial
12603,(0.3676470588235294+0j),,,,,,,,,industrial activity
12604,,,0j,,,,,,,industrialist
12605,,(2.4286+0j),0j,,,(1+0j),(0.05+0j),(1+0j),(0.05+0j),industries
12606,,(2.3333+0j),0j,,,0j,0j,0j,0j,industry
12607,,,,,,(0.5+0j),(0.05+0j),,,indycar
12608,,(2.8571+0j),,,,,,,,ineffective
12609,,,0j,,,,,,,inefficient
12610,,(2.5714+0j),,,,,,,,inequality
12611,,,0j,,,,,,,inertia
12612,,,(1+0j),,,,,,,inescutcheon
12613,,(3.5714+0j),,(1+0j),(0.9+0j),,,,,inevitable
12614,,(3.7143+0j),,,,,,,,inevitably
12615,,(2.2857+0j),,,,,,,,inexpensive
12616,,,0j,,,,,,,inexperienced
12617,(0.381578947368421+0j),,,,,,,,,inexplicable reason
12618,,(2.6667+0j),,,,,,,,inf
12619,,(2.5714+0j),,(1+0j),(0.45+0j),,,,,infamous
12620,,,0j,,,,,,,infancy
12621,,(2.8571+0j),0j,,,,,,,infant
12622,,(3.7143+0j),,,,,,,,infantry
12623,,(2.7143+0j),(0.5+0j),,,,,,,infants
12624,,,(1+0j),,,,,,,infatuated
12625,,,0j,,,(1+0j),(0.35+0j),,,infect
12626,,(2.6667+0j),0j,,,(0.875+0j),(0.16875+0j),,,infected
12627,,,0j,,,,,,,infecting
12628,,(2.7143+0j),0j,,,,,,,infection
12629,,(3+0j),0j,,,,,(1+0j),(0.05+0j),infections
12630,,(3.2857+0j),0j,,,,,,,infectious
12631,,(3.7143+0j),0j,,,,,,,inference
12632,,(3.1667+0j),0j,,,,,,,inferior
12633,,,0j,,,,,,,inferred
12634,,,0j,,,,,,,infertile
12635,,(2.8571+0j),,,,,,,,infinite
12636,,,0j,,,,,,,infinite-dimensional
12637,,,0j,,,,,,,infinitely
12638,,(2.8333+0j),,,,,,,,infiniti
12639,,(2.8333+0j),,,,,,,,infinity
12640,,(4+0j),0j,,,,,,,inflammation
12641,,(4.1429+0j),0j,,,,,,,inflammatory
12642,,,0j,,,,,,,inflate
12643,,(3.5714+0j),0j,,,(1+0j),(0.7+0j),,,inflation
12644,,,(0.5+0j),,,,,,,inflict
12645,,,(0.25+0j),,,,,,,inflicted
12646,,,0j,,,,,,,inflow
12647,,(2.8333+0j),0j,(1+0j),(0.1+0j),(1+0j),(0.275+0j),,,influence
12648,,(3.1667+0j),0j,,,,,,,influenced
12649,,(2.8571+0j),0j,,,,,,,influences
12650,,(3.1667+0j),,,,,,,,influencing
12651,,(3.8333+0j),0j,,,,,,,influential
12652,,(4.1667+0j),0j,,,,,,,influenza
12653,,,(1+0j),,,,,,,influx
12654,,(2.4286+0j),,,,,,,,info
12655,,,(0.3+0j),,,,,,,infobox
12656,,,0j,,,,,,,infobox-history
12657,,,0j,,,,,,,infobox-talk
12658,,,(0.7142857142857143+0j),,,,,,,infoboxes
12659,,(2.4286+0j),,,,,,,,inform
12660,,(2.8571+0j),0j,,,,,,,informal
12661,(0.296875+0j),,,,,,,,,informal debate
12662,,,0j,,,,,,,informally
12663,,(3.8571+0j),,,,,,,,informatics
12664,,(2.2857+0j),0j,(0.6+0j),(0.06999999999999999+0j),(0.4+0j),(0.030000000000000006+0j),(0.75+0j),(0.05+0j),information
12665,,(3.4286+0j),,,,,,,,informational
12666,,(2.8571+0j),0j,,,,,,,informative
12667,,(2.7143+0j),0j,,,0j,0j,,,informed
12668,,,0j,,,,,,,informers
12669,,(3.1667+0j),0j,,,,,,,informing
12670,,(3.4286+0j),,,,,,,,infrared
12671,,(3.6667+0j),0j,(1+0j),(0.55+0j),,,(1+0j),(0.5+0j),infrastructure
12672,,,0j,,,,,,,infrequent
12673,,(4.5+0j),(0.5+0j),(1+0j),(0.95+0j),,,,,infringement
12674,,,,(1+0j),(0.05+0j),,,,,infringement of patented technology
12675,,,(0.5+0j),,,,,,,infuse
12676,,,0j,,,,,,,infusion
12677,,,(1+0j),,,,,,,ingest
12678,,,0j,,,(1+0j),(0.6+0j),,,ingested
12679,,,,,,(1+0j),(0.6+0j),,,ingesting
12680,,(3.2857+0j),0j,,,,,,,ingredient
12681,,(3.5+0j),0j,,,,,,,ingredients
12682,,,0j,,,,,,,inhabit
12683,,(3.5+0j),0j,,,,,(1+0j),(0.55+0j),inhabitants
12684,(0.2333333333333333+0j),,,,,,,,,inhabitants quake
12685,,,0j,,,,,,,inhabited
12686,,,0j,,,,,,,inhabiting
12687,,,(0.5+0j),,,,,,,inhalation
12688,,,0j,,,,,,,inhales
12689,,(3+0j),0j,,,,,,,inherent
12690,,(3.2857+0j),0j,,,,,,,inherently
12691,,,0j,,,,,,,inherit
12692,,(3.2+0j),0j,,,,,,,inheritance
12693,,(3.1429+0j),(0.25+0j),,,,,,,inherited
12694,,,(1+0j),,,,,,,inherits
12695,,(3.1667+0j),,,,,,,,inhibit
12696,,,0j,,,,,,,inhibited
12697,,,0j,,,,,,,inhibiting
12698,,(3.7143+0j),0j,,,,,,,inhibition
12699,,(4.1429+0j),,,,,,,,inhibitor
12700,,(4.1429+0j),,,,,,,,inhibitors
12701,,,,0j,0j,,,,,inhofe
12702,,,0j,,,,,,,inhuman
12703,,(2.8+0j),,,,,,,,init
12704,,(1.8333+0j),0j,0j,0j,0j,0j,(1+0j),(0.125+0j),initial
12705,,,,,,,,(1+0j),(0.05+0j),initial drafts
12706,(0.25+0j),,,,,,,,,initial reports
12707,,(3.3333+0j),,,,,,,,initialization
12708,,(2.4+0j),(0.045454545454545456+0j),(1+0j),(0.05+0j),(1+0j),(0.35+0j),(1+0j),(0.25+0j),initially
12709,,,,,,,,(1+0j),(0.05+0j),initially proposed
12710,,,0j,,,,,,,initials
12711,,(3.1429+0j),0j,,,,,,,initiate
12712,,(3.1667+0j),0j,,,,,,,initiated
12713,,(3.5714+0j),(0.5+0j),,,,,,,initiation
12714,,(3.4286+0j),0j,,,,,,,initiative
12715,,(3.3333+0j),0j,,,,,,,initiatives
12716,,(2.7143+0j),,,,,,,,injected
12717,,(2.6667+0j),,,,,,,,injection
12718,,,(1+0j),,,,,,,injera
12719,,(2.3333+0j),0j,(0.38461538461538464+0j),(0.0423076923076923+0j),(1+0j),(0.175+0j),,,injured
12720,(0.1333333333333333+0j),,,,,,,,,injured foot
12721,,(2.5+0j),0j,(0.6666666666666666+0j),(0.09999999999999999+0j),(1+0j),(0.11666666666666668+0j),,,injuries
12722,,(2.1667+0j),(0.2+0j),,,(0.75+0j),(0.0875+0j),,,injury
12723,,(2.8571+0j),,,,,,,,injustice
12724,,(1.7143+0j),0j,(0.5+0j),(0.075+0j),,,0j,0j,ink
12725,,,,(1+0j),(0.1+0j),,,,,ink partnership deal
12726,,,,(1+0j),(0.15+0j),,,,,inked
12727,,,,(1+0j),(0.15+0j),,,,,inked a pact
12728,,(3.4286+0j),,,,,,,,inkjet
12729,,(2.5+0j),(0.5+0j),,,,,(1+0j),(0.45+0j),inland
12730,,(3.2857+0j),,,,,,,,inlet
12731,,(3.2+0j),0j,,,,,,,inline
12732,,(3+0j),(0.5+0j),,,(1+0j),(0.2333333333333333+0j),,,inmates
12733,,(2.5714+0j),,,,0j,0j,,,inn
12734,,,(1+0j),,,,,,,innate
12735,,(1.8571+0j),0j,,,,,(1+0j),(0.1+0j),inner
12736,,,,,,,,(1+0j),(0.05+0j),inner meaning
12737,,,0j,,,,,,,inner-suburban
12738,,(3.8571+0j),,,,,,,,inning
12739,,(3+0j),(1+0j),,,,,,,innings
12740,,(3.1667+0j),,,,,,,,innocence
12741,,(2.1667+0j),0j,(1+0j),(0.275+0j),,,(1+0j),(0.3+0j),innocent
12742,,(3.8333+0j),,(1+0j),(1+0j),,,,,innovation
12743,,(3.4286+0j),0j,(1+0j),(0.75+0j),,,,,innovations
12744,,(3.4286+0j),0j,,,,,,,innovative
12745,(0.4411764705882353+0j),,,,,,,,,innovative therapies
12746,,,0j,,,,,,,innovators
12747,,(2.3333+0j),,,,,,,,inns
12748,(0.5138888888888888+0j),,,,,,,,,innumerable evils
12749,,,0j,,,,,,,inorganic
12750,,(1.6667+0j),0j,,,,,,,input
12751,,(2.2857+0j),0j,,,,,,,inputs
12752,,(3+0j),,,,,,,,inquire
12753,,(3.2+0j),,(1+0j),(0.4+0j),,,,,inquiries
12754,,(3+0j),0j,,,,,,,inquiry
12755,,,(1+0j),,,,,,,ins
12756,,(3.1667+0j),,,,,,,,insane
12757,,,0j,,,,,,,inscribe
12758,,,(0.5+0j),,,,,,,inscribed
12759,,,(1+0j),,,,,,,inscription
12760,,,0j,,,,,,,inscriptions
12761,,(2.1429+0j),0j,,,0j,0j,,,insect
12762,,,,,,(1+0j),(0.05+0j),,,insect world
12763,,,0j,,,,,,,insecticide
12764,,,(1+0j),,,,,,,insectivores
12765,,(2.2857+0j),(0.047619047619047616+0j),,,0j,0j,,,insects
12766,,,0j,,,,,,,insecurities
12767,,(2.5714+0j),,(1+0j),(0.3+0j),,,(1+0j),(0.08333333333333333+0j),insert
12768,,,,(1+0j),(0.05+0j),,,,,insert themselves
12769,,(2.7143+0j),0j,,,,,,,inserted
12770,,(2.8571+0j),0j,,,,,,,inserting
12771,,(2.7143+0j),,,,,,,,insertion
12772,,(2.5714+0j),,,,,,,,insertions
12773,,(2.4286+0j),0j,,,,,,,inserts
12774,,(1.5+0j),0j,0j,0j,0j,0j,0j,0j,inside
12775,,(2.5+0j),,,,,,,,insider
12776,,,0j,,,,,,,insiders
12777,,(3.4+0j),,,,,,,,insight
12778,,(3.3333+0j),,,,,,,,insights
12779,,(2.7143+0j),0j,,,,,,,insist
12780,,(3.2857+0j),0j,(1+0j),(0.125+0j),,,(1+0j),(0.15+0j),insisted
12781,,,0j,,,,,,,insistence
12782,,(2.5714+0j),0j,(1+0j),(0.05+0j),,,,,insists
12783,,(2.4286+0j),,(1+0j),(0.05+0j),,,,,inspect
12784,,(3+0j),,,,(1+0j),(0.2+0j),,,inspected
12785,,(3.3333+0j),0j,(0.75+0j),(0.0875+0j),(1+0j),(0.2+0j),,,inspection
12786,,,,(1+0j),(0.05+0j),,,,,inspection team
12787,,(3.3333+0j),,,,,,,,inspections
12788,,(2.8571+0j),0j,,,,,,,inspector
12789,,(2.8571+0j),,,,,,,,inspectors
12790,,(3.1429+0j),0j,,,(1+0j),(0.5+0j),(1+0j),(0.6+0j),inspiration
12791,,(3.5714+0j),0j,,,,,,,inspirational
12792,,(2.8571+0j),0j,,,,,,,inspire
12793,,(2.7143+0j),(0.09090909090909091+0j),,,(1+0j),(0.175+0j),0j,0j,inspired
12794,,,,,,(1+0j),(0.1+0j),,,inspired comparisons
12795,,(3.1667+0j),0j,,,,,,,inspiring
12796,(0.4285714285714286+0j),,,,,,,,,inspiring demonstration
12797,,(3.5714+0j),,,,,,,,inspiron
12798,,(2.8+0j),,,,,,,,inst
12799,,(3+0j),0j,,,,,,,instability
12800,,(2.5714+0j),0j,,,,,,,install
12801,,(3.3333+0j),0j,,,,,,,installation
12802,,(3.3333+0j),0j,,,,,,,installations
12803,,(2.7143+0j),0j,,,,,,,installed
12804,,(3.1429+0j),,,,,,,,installer
12805,,(2.6667+0j),0j,,,,,,,installing
12806,,(3+0j),0j,,,,,(1+0j),(0.5+0j),installment
12807,,(2.1667+0j),,,,,,,,installs
12808,,(3.8+0j),0j,,,,,,,instance
12809,,(3.5+0j),0j,,,,,(1+0j),(0.45+0j),instances
12810,,(2.5714+0j),0j,,,,,,,instant
12811,,,0j,,,,,,,instant-messaging
12812,,,(1+0j),,,,,,,instantiated
12813,,(2.5+0j),0j,,,,,,,instantly
12814,,,,,,,,(1+0j),(0.6+0j),instar
12815,,(2+0j),(0.030303030303030304+0j),(1+0j),(0.05000000000000001+0j),(1+0j),(0.15+0j),(1+0j),(0.05+0j),instead
12816,,,,,,0j,0j,,,instead of listening to their demands
12817,,,0j,,,,,,,instinctive
12818,,(3.2857+0j),0j,,,0j,0j,,,institute
12819,,,,,,(1+0j),(0.05+0j),,,institute of management
12820,,,,,,0j,0j,,,institute of management shillong
12821,,(2.5714+0j),,,,,,,,institutes
12822,,(2.8333+0j),0j,(1+0j),(0.15+0j),,,,,institution
12823,,(3.5714+0j),0j,,,,,,,institutional
12824,(0.4+0j),,,,,,,,,institutional basis
12825,(0.5+0j),,,,,,,,,institutional impasse
12826,(0.6785714285714286+0j),,,,,,,,,institutional prerogatives
12827,(0.4642857142857143+0j),,,,,,,,,institutional transparency
12828,,(3+0j),0j,,,,,,,institutions
12829,,(3+0j),,,,,,,,instructed
12830,,(2.5714+0j),0j,,,,,,,instruction
12831,,(3+0j),0j,,,,,,,instructional
12832,(0.3611111111111111+0j),,,,,,,,,instructional signals
12833,,(2.5714+0j),(0.07692307692307693+0j),,,,,0j,0j,instructions
12834,,(3.1667+0j),0j,,,,,,,instructor
12835,,(3+0j),0j,,,,,,,instructors
12836,,(2.8571+0j),(0.25+0j),(1+0j),(0.30000000000000004+0j),,,0j,0j,instrument
12837,,(3.5714+0j),0j,,,,,,,instrumental
12838,,(4.1429+0j),,,,,,,,instrumentation
12839,,(2.5714+0j),0j,,,,,,,instruments
12840,,(3+0j),,,,,,,,insufficient
12841,,(3.5714+0j),,,,,,,,insulation
12842,,(3.8+0j),0j,,,,,,,insulin
12843,,(2.6667+0j),0j,,,,,,,insult
12844,,,0j,,,,,,,insulting
12845,(0.375+0j),,,,,,,,,insulting yahweh
12846,,,0j,,,,,,,insults
12847,,(2.7143+0j),0j,0j,0j,(1+0j),(0.1+0j),,,insurance
12848,,(3+0j),,,,,,,,insure
12849,,(2.5+0j),,,,,,,,insured
12850,,(3.3333+0j),,,,,,,,insurer
12851,,(3.1429+0j),,,,,,,,insurers
12852,,,,(1+0j),(0.65+0j),,,,,insurgency
12853,,,(1+0j),(1+0j),(0.85+0j),,,,,insurgent
12854,,,,(1+0j),(0.15+0j),,,,,insurgent attacks
12855,,,,(1+0j),(0.67+0j),(1+0j),(0.625+0j),,,insurgents
12856,,,,(1+0j),(0.05+0j),,,,,insurgents disguised
12857,,,,(1+0j),(0.05+0j),,,,,insurgents dismissed
12858,,,(1+0j),,,,,,,insurrection
12859,,(3.3333+0j),(0.3333333333333333+0j),,,,,,,intact
12860,(0.3571428571428571+0j),,,,,,,,,intact site
12861,,(2.7143+0j),,,,(1+0j),(0.2+0j),,,intake
12862,,(2.6667+0j),(0.4+0j),,,,,,,integer
12863,,(2.2857+0j),,,,,,,,integers
12864,,(3.4286+0j),0j,(1+0j),(0.5666666666666668+0j),,,,,integral
12865,,,,(1+0j),(0.11666666666666665+0j),,,,,integral part
12866,,(3.5714+0j),0j,,,,,,,integrate
12867,,(3.3333+0j),0j,(1+0j),(0.5+0j),,,,,integrated
12868,(0.4264705882352941+0j),,,,,,,,,integrated approach
12869,,(3.1429+0j),,,,,,,,integrates
12870,,(3.1667+0j),,,,,,,,integrating
12871,,(3.8333+0j),,,,,,,,integration
12872,(0.5333333333333333+0j),,,,,,,,,integration fund
12873,,(3.6667+0j),0j,,,,,,,integrity
12874,,(2.5+0j),,,,,,,,intel
12875,,,0j,,,,,,,intellect
12876,,(3.5714+0j),0j,,,,,,,intellectual
12877,,,(0.5+0j),,,,,,,intellectually
12878,,,0j,,,,,,,intellectuals
12879,,(2.8333+0j),0j,(1+0j),(0.14+0j),(0.6+0j),(0.06+0j),,,intelligence
12880,,,,,,(1+0j),(0.07500000000000001+0j),,,intelligence agencies
12881,,,,(1+0j),(0.1+0j),,,,,intelligence officer
12882,,(3+0j),0j,,,,,,,intelligent
12883,,,0j,,,,,,,intelligible
12884,,(2.7143+0j),,,,,,,,intend
12885,,(2.8333+0j),0j,,,,,,,intended
12886,,(3+0j),,(1+0j),(0.3+0j),(1+0j),(0.1+0j),,,intends
12887,,(3+0j),0j,(1+0j),(0.375+0j),,,,,intense
12888,,,,(1+0j),(0.1+0j),,,,,intense pressure
12889,,,,(1+0j),(0.15+0j),,,,,intense regulatory scrutiny
12890,,,0j,,,,,,,intensely
12891,,,,(1+0j),(0.65+0j),,,,,intensified
12892,,,,(1+0j),(0.7+0j),,,,,intensify
12893,,,,(1+0j),(0.05+0j),,,,,intensify the clean-up
12894,,,(1+0j),,,,,,,intensifying
12895,,(3+0j),0j,,,,,,,intensity
12896,,(2.8571+0j),0j,,,(1+0j),(0.4+0j),(1+0j),(0.35+0j),intensive
12897,,,,,,(1+0j),(0.05+0j),,,intensive care
12898,,,,,,(1+0j),(0.125+0j),,,intensive care unit
12899,,,0j,,,(1+0j),(0.7+0j),,,intensively
12900,,,,,,0j,0j,,,intensively bite
12901,,(3+0j),,,,(1+0j),(0.35+0j),(1+0j),(0.22499999999999998+0j),intent
12902,,,,,,,,(1+0j),(0.05+0j),intent to conquer
12903,,(2.8333+0j),0j,,,,,(1+0j),(0.45+0j),intention
12904,,,,,,,,(1+0j),(0.05+0j),intention of registering
12905,,(2.8571+0j),0j,,,,,,,intentional
12906,,,0j,,,,,,,intentionality
12907,,(2.8571+0j),0j,,,,,,,intentionally
12908,,(3.2857+0j),0j,(1+0j),(0.4+0j),,,,,intentions
12909,,,(1+0j),,,,,,,inter
12910,(0.6019287348806801+0j),,,,,,,,,inter alia
12911,,,0j,,,,,,,inter-city
12912,,,0j,,,,,,,inter-island
12913,,,0j,,,,,,,inter-related
12914,,(2.8571+0j),0j,,,,,,,interact
12915,,,0j,,,,,,,interacted
12916,,(2.7143+0j),,,,,,,,interacting
12917,,(3.2857+0j),0j,,,(1+0j),(0.3+0j),,,interaction
12918,,(3.1429+0j),0j,,,,,,,interactions
12919,,(3.1667+0j),,,,,,,,interactive
12920,,,0j,,,,,,,interacts
12921,,,0j,,,,,,,interbrand
12922,,,0j,,,,,,,interceded
12923,,,0j,,,,,,,intercepted
12924,,(3.1667+0j),0j,,,,,,,interchange
12925,,,0j,,,,,,,interchangeably
12926,,(3.6667+0j),,,,,,,,intercontinental
12927,,(3.1667+0j),0j,,,,,,,intercourse
12928,,,(1+0j),,,,,,,interdental
12929,,(4.5714+0j),0j,,,,,,,interdisciplinary
12930,,(1.8571+0j),(0.041666666666666664+0j),0j,0j,0j,0j,0j,0j,interest
12931,,,,(1+0j),(0.10000000000000002+0j),,,,,interest rate
12932,,,,,,(1+0j),(0.05+0j),,,interest rates
12933,,(1.8333+0j),0j,,,,,,,interested
12934,,(2.1429+0j),0j,,,0j,0j,,,interesting
12935,,(2.5714+0j),,,,,,,,interestingly
12936,,(1.8571+0j),0j,0j,0j,0j,0j,0j,0j,interests
12937,,(3+0j),0j,,,,,,,interface
12938,,(3.5714+0j),,,,,,,,interfaces
12939,,,,(0.4+0j),(0.02+0j),,,,,interfax
12940,,(3.1429+0j),,,,,,,,interfere
12941,,,0j,,,,,,,interfered
12942,,(4.1667+0j),0j,,,(1+0j),(0.55+0j),,,interference
12943,,,0j,,,,,,,interfering
12944,,(3.8571+0j),0j,,,,,,,interim
12945,(0.4473684210526315+0j),,,,,,,,,interim period
12946,,(2.8333+0j),0j,(0.4166666666666667+0j),(0.041666666666666664+0j),0j,0j,(1+0j),(0.15+0j),interior
12947,,,,,,(1+0j),(0.05+0j),,,interior minister
12948,,,,(0.7+0j),(0.06000000000000001+0j),,,,,interior ministry
12949,,,,(0.8888888888888888+0j),(0.06666666666666668+0j),,,,,interior ministry troops
12950,,(3.1429+0j),0j,,,,,,,interiors
12951,,,0j,,,,,,,interleaved
12952,,,0j,,,,,,,interline
12953,,,0j,,,,,,,intermediaries
12954,,,0j,,,,,,,intermediary
12955,,(2.6667+0j),0j,,,,,(1+0j),(0.3+0j),intermediate
12956,,,0j,,,,,,,intermingled
12957,,,0j,(1+0j),(0.7+0j),,,,,intermittent
12958,,,,(1+0j),(0.3+0j),,,,,intermittent clashes
12959,,(2.4286+0j),,,,,,,,intern
12960,,,0j,,,,,,,interna
12961,,(2.4286+0j),(0.058823529411764705+0j),0j,0j,(0.2+0j),(0.02+0j),,,internal
12962,,,,,,(1+0j),(0.3+0j),,,internal affairs
12963,(0.3026315789473685+0j),,,,,,,,,internal market
12964,,,,,,(0.5+0j),(0.05+0j),,,internal revenue
12965,,,,,,(1+0j),(0.05+0j),,,internal revenue service
12966,,,,,,(1+0j),(0.05+0j),,,internal revenue service (irs
12967,,(2.7143+0j),0j,,,,,,,internally
